;Coffee;Coffee_late;Exercise;Exercise late;Phone activity;Noise;Relaxed;Sleep Score
98;-1;0;-1;0;1;1;1;72
99;-1;0;1;1;-1;1;1;100
100;1;-1;-1;0;-1;-1;1;100
101;1;-1;1;-1;-1;-1;-1;100
102;1;1;-1;0;-1;-1;1;100
103;-1;0;-1;0;1;1;1;78
104;-1;0;1;1;1;-1;1;83
105;-1;0;-1;0;-1;1;1;100
106;-1;0;-1;0;-1;1;-1;91
107;1;1;-1;0;1;1;-1;64
108;1;1;-1;0;-1;-1;1;96
109;1;1;-1;0;1;-1;-1;52
110;-1;0;-1;0;-1;1;1;100
111;-1;0;1;1;1;1;-1;73
112;-1;0;1;-1;1;-1;-1;100
113;1;1;-1;0;1;1;1;37
114;-1;0;-1;0;-1;1;-1;100
115;1;-1;-1;0;-1;-1;1;100
116;1;1;-1;0;-1;1;1;79
117;1;1;-1;0;1;-1;1;71
118;-1;0;-1;0;1;1;-1;52
119;1;-1;-1;0;1;1;-1;73
120;-1;0;1;-1;1;1;-1;69
121;1;1;-1;0;-1;-1;-1;89
122;-1;0;-1;0;-1;1;1;100
123;1;1;1;-1;1;1;-1;22
124;1;1;-1;0;-1;-1;-1;100
125;-1;0;-1;0;-1;-1;1;100
126;1;1;-1;0;-1;-1;-1;98
127;1;-1;1;1;-1;1;1;100
128;1;1;-1;0;1;-1;1;55
129;1;1;-1;0;1;1;1;58
130;-1;0;-1;0;1;-1;1;81
131;1;-1;1;-1;-1;1;1;100
132;-1;0;1;-1;-1;1;-1;100
133;1;-1;1;1;-1;-1;-1;100
134;-1;0;1;1;-1;1;1;100
135;-1;0;-1;0;-1;1;-1;100
136;1;-1;1;-1;1;1;-1;85
137;1;1;1;-1;1;-1;-1;78
138;1;-1;1;-1;-1;1;-1;100
139;1;1;1;-1;1;1;1;67
140;-1;0;1;-1;1;1;-1;81
141;1;1;1;1;1;-1;-1;61
142;1;-1;-1;0;-1;1;-1;100
143;-1;0;1;-1;1;-1;1;100
144;-1;0;-1;0;1;1;-1;51
145;1;1;1;-1;1;1;-1;54
146;-1;0;1;-1;-1;1;1;100
147;-1;0;-1;0;-1;-1;1;100
148;-1;0;1;1;1;1;-1;47
149;1;-1;1;-1;-1;-1;1;100
150;1;-1;-1;0;-1;1;1;100
151;1;1;-1;0;1;1;-1;25
152;-1;0;1;1;-1;-1;1;100
153;1;1;-1;0;-1;1;1;82
154;-1;0;1;1;-1;-1;-1;100
155;1;-1;1;-1;-1;1;1;100
156;-1;0;1;-1;-1;-1;-1;100
157;1;-1;-1;0;1;-1;-1;100
158;-1;0;-1;0;1;-1;-1;59
159;-1;0;-1;0;1;1;1;60
160;-1;0;1;-1;-1;1;1;100
161;-1;0;1;-1;-1;1;-1;100
162;-1;0;1;1;1;-1;-1;83
163;-1;0;1;-1;1;1;1;88
164;-1;0;-1;0;1;-1;1;84
165;1;-1;-1;0;-1;-1;-1;100
166;-1;0;1;-1;-1;-1;-1;100
167;-1;0;1;1;-1;-1;-1;100
168;-1;0;1;1;-1;-1;-1;100
169;-1;0;1;1;1;1;-1;69
170;1;1;1;1;-1;-1;-1;78
171;1;-1;1;-1;-1;1;-1;100
172;1;-1;-1;0;1;1;1;89
173;1;1;-1;0;-1;-1;1;100
174;1;-1;1;-1;-1;1;-1;100
175;1;1;1;-1;-1;-1;1;100
176;-1;0;-1;0;1;1;-1;62
177;1;1;-1;0;-1;-1;1;100
178;-1;0;1;-1;1;1;-1;80
179;1;1;1;1;-1;-1;1;100
180;1;1;-1;0;-1;1;-1;70
181;1;-1;1;1;1;1;1;100
182;-1;0;-1;0;1;-1;-1;73
183;-1;0;-1;0;1;-1;1;69
184;1;-1;1;-1;1;1;-1;78
185;1;-1;1;1;1;-1;-1;100
186;-1;0;1;1;1;-1;-1;78
187;-1;0;1;1;-1;-1;-1;100
188;-1;0;-1;0;-1;1;-1;100
189;-1;0;1;-1;-1;1;1;100
190;-1;0;-1;0;1;-1;1;86
191;-1;0;1;-1;1;1;-1;73
192;1;1;1;-1;-1;-1;1;100
193;1;1;-1;0;1;1;-1;8
194;-1;0;1;-1;1;-1;-1;100
195;-1;0;-1;0;-1;-1;-1;100
196;-1;0;-1;0;-1;-1;1;100
197;1;-1;1;-1;1;1;1;100
198;-1;0;1;1;1;1;-1;72
199;-1;0;1;1;1;1;1;78
200;1;1;-1;0;1;1;-1;37
201;1;1;1;1;-1;1;-1;90
202;-1;0;-1;0;-1;-1;-1;100
203;1;-1;1;1;-1;-1;-1;100
204;-1;0;1;-1;-1;-1;1;100
205;1;1;-1;0;1;1;1;50
206;-1;0;-1;0;1;1;-1;60
207;1;-1;-1;0;-1;-1;-1;100
208;1;1;-1;0;-1;-1;-1;99
209;1;1;-1;0;-1;1;-1;100
210;-1;0;1;-1;-1;1;1;100
211;1;1;-1;0;-1;1;1;88
212;-1;0;-1;0;-1;-1;1;100
213;1;1;1;-1;-1;-1;1;100
214;1;1;-1;0;1;-1;1;72
215;1;-1;-1;0;1;1;1;89
216;-1;0;-1;0;-1;-1;1;100
217;1;-1;1;-1;-1;1;-1;100
218;-1;0;1;1;-1;1;-1;100
219;-1;0;1;-1;1;-1;1;100
220;-1;0;1;-1;-1;1;1;100
221;1;1;-1;0;1;-1;-1;49
222;-1;0;-1;0;-1;1;-1;89
223;-1;0;1;-1;1;1;-1;66
224;-1;0;1;-1;1;-1;1;96
225;1;-1;1;1;-1;-1;1;100
226;1;-1;1;-1;-1;1;1;100
227;1;1;1;-1;1;-1;1;71
228;1;1;1;1;1;-1;1;65
229;1;-1;1;1;1;-1;-1;97
230;1;1;-1;0;1;-1;-1;58
231;-1;0;-1;0;1;1;-1;49
232;-1;0;1;1;1;1;1;75
233;1;1;-1;0;1;-1;1;71
234;-1;0;-1;0;1;1;1;71
235;-1;0;-1;0;1;-1;-1;73
236;-1;0;1;1;1;1;1;69
237;1;1;1;-1;1;-1;1;97
238;-1;0;-1;0;-1;-1;1;100
239;1;-1;-1;0;-1;1;1;100
240;1;1;-1;0;1;1;1;53
241;1;1;-1;0;-1;1;-1;99
242;1;-1;1;1;-1;-1;1;100
243;1;-1;-1;0;-1;1;1;100
244;1;1;1;1;-1;1;1;100
245;-1;0;-1;0;1;-1;1;81
246;1;-1;1;-1;1;-1;-1;97
247;1;-1;1;-1;-1;1;1;100
248;1;1;1;-1;-1;1;-1;98
249;1;1;-1;0;1;1;-1;58
250;-1;0;1;-1;1;-1;-1;89
251;1;-1;1;-1;-1;1;1;100
252;-1;0;-1;0;1;1;1;73
253;1;1;-1;0;1;1;1;56
254;-1;0;-1;0;1;1;-1;58
255;1;1;1;1;1;1;1;66
256;1;1;-1;0;1;-1;1;67
257;-1;0;-1;0;1;1;-1;42
258;1;-1;1;-1;1;-1;-1;91
259;-1;0;1;1;1;-1;-1;89
260;-1;0;-1;0;1;1;1;79
261;-1;0;-1;0;-1;-1;-1;100
262;-1;0;-1;0;1;-1;-1;60
263;-1;0;1;1;1;1;-1;62
264;1;-1;1;-1;1;-1;1;100
265;-1;0;-1;0;-1;-1;1;100
266;1;-1;1;-1;1;-1;1;100
267;-1;0;1;-1;-1;-1;1;100
268;1;-1;1;1;-1;1;1;100
269;1;-1;1;-1;-1;-1;-1;100
270;-1;0;1;-1;-1;1;-1;100
271;-1;0;1;1;1;1;1;75
272;-1;0;-1;0;1;-1;1;82
273;1;-1;1;-1;1;-1;1;100
274;1;-1;1;-1;-1;1;-1;100
275;-1;0;1;-1;1;1;1;100
276;1;-1;-1;0;-1;1;1;100
277;-1;0;-1;0;-1;-1;1;100
278;1;-1;1;1;1;-1;-1;100
279;1;-1;-1;0;-1;-1;-1;100
280;-1;0;-1;0;-1;1;1;100
281;1;1;1;-1;-1;-1;-1;100
282;-1;0;-1;0;1;1;1;66
283;1;1;1;1;1;-1;1;82
284;-1;0;1;-1;1;1;-1;79
285;-1;0;-1;0;1;1;-1;70
286;-1;0;1;1;1;1;1;77
287;1;1;-1;0;1;-1;1;72
288;-1;0;-1;0;1;1;1;69
289;1;1;1;-1;1;1;1;63
290;1;-1;-1;0;-1;-1;1;100
291;1;-1;-1;0;1;-1;-1;87
292;-1;0;-1;0;1;1;1;67
293;1;-1;1;-1;1;-1;1;100
294;1;1;-1;0;-1;1;-1;71
295;1;-1;1;1;-1;1;1;100
296;-1;0;1;-1;-1;-1;-1;100
297;-1;0;-1;0;-1;1;-1;100
298;-1;0;-1;0;1;1;1;88
299;-1;0;-1;0;1;-1;-1;62
300;-1;0;1;-1;1;-1;-1;95
301;-1;0;-1;0;1;-1;1;95
302;-1;0;-1;0;-1;-1;1;100
303;-1;0;1;-1;1;1;-1;62
304;1;-1;1;-1;1;-1;1;100
305;-1;0;-1;0;1;1;1;77
306;1;-1;1;-1;-1;1;1;100
307;-1;0;1;1;-1;1;1;100
308;-1;0;-1;0;-1;1;-1;93
309;-1;0;1;1;-1;1;1;100
310;1;1;-1;0;-1;-1;-1;100
311;1;1;1;-1;1;-1;-1;57
312;-1;0;-1;0;-1;1;-1;93
313;1;-1;-1;0;1;1;1;100
314;-1;0;-1;0;-1;1;-1;100
315;-1;0;-1;0;1;-1;1;81
316;1;1;-1;0;-1;1;1;85
317;1;1;1;-1;-1;-1;1;100
318;-1;0;1;1;-1;1;1;100
319;1;-1;1;1;-1;-1;1;100
320;1;1;-1;0;-1;-1;-1;77
321;1;1;-1;0;-1;-1;-1;83
322;-1;0;-1;0;-1;-1;-1;100
323;1;1;1;-1;1;-1;-1;56
324;1;-1;-1;0;1;1;1;92
325;-1;0;1;-1;1;-1;1;91
326;-1;0;-1;0;-1;1;1;100
327;-1;0;-1;0;1;1;1;73
328;1;-1;1;1;1;-1;-1;92
329;-1;0;-1;0;1;-1;1;92
330;1;-1;-1;0;-1;-1;1;100
331;-1;0;-1;0;1;1;-1;66
332;-1;0;-1;0;1;-1;1;92
333;1;1;-1;0;-1;1;-1;67
334;1;1;-1;0;-1;1;-1;91
335;-1;0;-1;0;1;1;1;69
336;-1;0;-1;0;1;-1;-1;80
337;-1;0;1;1;-1;-1;-1;100
338;-1;0;1;1;-1;-1;1;100
339;-1;0;-1;0;1;1;1;45
340;-1;0;-1;0;1;1;1;79
341;-1;0;-1;0;1;-1;1;83
342;-1;0;-1;0;-1;-1;1;100
343;-1;0;1;1;-1;-1;1;100
344;-1;0;-1;0;-1;-1;1;100
345;1;-1;1;1;-1;-1;1;100
346;1;-1;-1;0;-1;1;-1;100
347;1;-1;-1;0;1;1;1;82
348;1;1;1;-1;1;-1;1;75
349;1;1;1;1;1;1;1;34
350;1;1;-1;0;1;-1;1;95
351;1;-1;1;1;-1;1;-1;100
352;1;1;1;-1;1;1;-1;38
353;-1;0;-1;0;1;-1;1;88
354;1;1;1;1;-1;-1;1;100
355;-1;0;1;1;1;-1;-1;78
356;1;-1;-1;0;-1;1;1;100
357;1;1;1;1;-1;1;1;100
358;-1;0;1;-1;1;-1;-1;82
359;-1;0;1;-1;-1;1;-1;100
360;1;1;1;1;-1;1;1;100
361;-1;0;-1;0;-1;-1;1;100
362;1;-1;-1;0;1;-1;1;100
363;-1;0;1;-1;1;1;-1;73
364;1;-1;1;1;-1;1;-1;100
365;-1;0;1;1;1;-1;-1;89
366;-1;0;1;-1;-1;-1;1;100
367;-1;0;1;1;-1;1;-1;100
368;-1;0;1;-1;-1;1;1;100
369;1;-1;-1;0;1;1;-1;81
370;1;1;-1;0;1;-1;-1;53
371;-1;0;1;1;-1;1;1;100
372;1;-1;1;1;1;1;-1;92
373;1;1;1;-1;1;-1;1;82
374;-1;0;1;-1;1;-1;-1;90
375;-1;0;-1;0;-1;-1;1;100
376;1;-1;1;-1;-1;1;1;100
377;1;-1;1;1;-1;1;-1;100
378;1;1;1;-1;1;1;1;84
379;1;1;1;-1;-1;1;-1;89
380;-1;0;1;-1;-1;-1;-1;100
381;-1;0;1;1;1;-1;-1;73
382;-1;0;-1;0;-1;-1;1;100
383;-1;0;-1;0;-1;1;-1;92
384;-1;0;1;1;1;1;1;78
385;1;1;-1;0;-1;1;1;100
386;1;1;1;1;1;1;1;60
387;1;1;-1;0;-1;-1;1;100
388;1;1;1;-1;1;1;1;74
389;-1;0;1;1;1;-1;1;81
390;1;1;1;-1;1;1;-1;24
391;1;1;1;-1;1;1;1;95
392;1;-1;-1;0;1;-1;-1;83
393;-1;0;1;-1;-1;1;1;100
394;-1;0;-1;0;-1;1;1;100
395;1;-1;1;-1;-1;-1;1;100
396;-1;0;-1;0;-1;-1;1;100
397;-1;0;-1;0;-1;1;-1;96
398;1;-1;-1;0;1;-1;1;92
399;1;-1;-1;0;-1;1;-1;100
400;-1;0;1;1;1;-1;1;100
401;-1;0;1;-1;-1;1;1;100
402;-1;0;-1;0;1;-1;-1;72
403;1;1;1;-1;1;-1;1;87
404;-1;0;1;1;-1;-1;1;100
405;1;1;-1;0;1;-1;-1;26
406;1;-1;-1;0;1;1;-1;64
407;1;1;-1;0;-1;-1;1;100
408;-1;0;1;1;-1;-1;1;100
409;-1;0;1;-1;-1;-1;-1;100
410;1;1;-1;0;1;-1;-1;65
411;1;1;1;1;-1;-1;-1;100
412;-1;0;1;1;1;1;-1;58
413;-1;0;-1;0;1;1;1;80
414;-1;0;1;1;-1;-1;-1;100
415;-1;0;1;1;-1;1;-1;100
416;-1;0;1;-1;-1;-1;-1;100
417;-1;0;1;-1;1;1;-1;89
418;-1;0;-1;0;1;-1;-1;69
419;-1;0;1;-1;-1;1;-1;100
420;-1;0;-1;0;-1;-1;-1;100
421;-1;0;-1;0;-1;-1;1;100
422;1;-1;1;1;1;-1;-1;97
423;1;-1;1;1;-1;-1;-1;100
424;-1;0;1;-1;1;-1;1;100
425;-1;0;1;-1;1;-1;1;100
426;1;1;-1;0;1;1;-1;12
427;-1;0;1;-1;1;1;1;100
428;1;-1;1;-1;-1;-1;1;100
429;-1;0;1;1;1;-1;-1;70
430;1;-1;1;1;1;-1;-1;91
431;-1;0;-1;0;-1;-1;-1;100
432;-1;0;1;-1;1;1;-1;70
433;-1;0;1;1;1;-1;1;90
434;1;-1;1;-1;-1;-1;1;100
435;1;1;1;1;-1;1;1;92
436;-1;0;-1;0;-1;1;-1;93
437;1;-1;1;-1;-1;-1;1;100
438;1;-1;1;1;-1;1;-1;100
439;1;1;-1;0;-1;1;1;98
440;1;1;1;1;-1;1;1;100
441;-1;0;1;1;-1;1;-1;89
442;1;1;1;-1;1;1;-1;61
443;-1;0;-1;0;-1;1;-1;100
444;-1;0;-1;0;-1;1;1;100
445;-1;0;1;1;-1;-1;1;100
446;1;1;1;1;-1;-1;-1;100
447;1;-1;-1;0;1;-1;1;100
448;-1;0;-1;0;1;1;-1;61
449;-1;0;-1;0;-1;1;-1;100
450;1;1;-1;0;1;1;-1;41
451;-1;0;1;-1;1;1;1;100
452;-1;0;1;-1;-1;-1;-1;100
453;-1;0;1;-1;-1;1;-1;100
454;-1;0;1;-1;-1;1;1;100
455;1;-1;1;1;1;1;1;100
456;1;-1;-1;0;-1;-1;-1;100
457;-1;0;1;-1;1;-1;-1;100
458;1;-1;1;1;-1;-1;-1;100
459;1;1;-1;0;1;1;-1;40
460;1;1;1;1;-1;1;-1;71
461;-1;0;-1;0;-1;1;1;100
462;-1;0;1;1;-1;1;1;100
463;1;-1;-1;0;1;1;1;92
464;1;1;1;-1;-1;-1;1;100
465;-1;0;-1;0;1;-1;1;97
466;1;-1;1;-1;-1;1;1;100
467;-1;0;1;1;-1;1;1;100
468;-1;0;1;1;-1;1;1;100
469;-1;0;1;1;-1;1;1;100
470;-1;0;1;-1;-1;1;-1;100
471;1;-1;1;1;-1;1;1;100
472;-1;0;1;1;-1;-1;-1;100
473;1;-1;-1;0;1;-1;1;100
474;-1;0;1;-1;1;-1;1;100
475;-1;0;-1;0;-1;1;-1;87
476;1;1;-1;0;-1;1;-1;81
477;-1;0;1;1;1;1;-1;65
478;-1;0;1;-1;1;-1;-1;81
479;-1;0;-1;0;-1;-1;-1;100
480;-1;0;1;-1;1;1;1;91
481;1;-1;-1;0;-1;1;-1;100
482;1;-1;1;1;1;1;-1;91
483;-1;0;-1;0;1;1;-1;58
484;1;-1;1;-1;-1;-1;-1;100
485;1;1;1;1;1;-1;-1;56
486;1;-1;1;-1;1;1;-1;92
487;1;1;1;1;-1;-1;-1;87
488;1;-1;1;1;1;1;-1;84
489;-1;0;-1;0;-1;1;-1;100
490;-1;0;-1;0;-1;-1;-1;100
491;-1;0;-1;0;1;1;-1;55
492;1;-1;1;1;1;-1;1;100
493;1;-1;1;1;-1;-1;-1;100
494;1;1;1;-1;1;1;1;68
495;1;-1;-1;0;1;-1;-1;89
496;1;-1;1;-1;1;-1;1;100
497;1;-1;1;-1;1;1;-1;100
498;-1;0;-1;0;-1;1;-1;74
499;1;-1;1;-1;-1;-1;1;100
500;-1;0;1;1;1;1;1;80
501;-1;0;1;-1;-1;1;1;100
502;-1;0;1;1;-1;1;-1;100
503;-1;0;1;-1;1;-1;-1;80
504;1;-1;1;1;-1;1;-1;100
505;1;-1;1;-1;1;1;1;100
506;-1;0;1;1;1;-1;1;100
507;-1;0;1;1;-1;1;-1;97
508;1;-1;-1;0;-1;-1;1;100
509;1;-1;-1;0;-1;1;-1;97
510;1;1;-1;0;-1;1;1;92
511;1;-1;1;1;-1;1;1;100
512;-1;0;-1;0;1;-1;-1;60
513;-1;0;1;1;1;-1;1;100
514;1;-1;1;1;1;1;-1;75
515;-1;0;1;-1;-1;1;1;100
516;-1;0;-1;0;1;1;1;71
517;-1;0;-1;0;-1;-1;1;100
518;1;-1;-1;0;1;1;-1;62
519;-1;0;-1;0;-1;-1;-1;100
520;-1;0;-1;0;1;-1;1;100
521;1;-1;-1;0;-1;1;1;100
522;1;-1;1;1;-1;-1;-1;100
523;-1;0;-1;0;-1;-1;-1;100
524;1;-1;1;1;-1;1;-1;100
525;-1;0;-1;0;-1;1;-1;100
526;1;-1;1;1;-1;1;-1;100
527;1;-1;1;1;-1;-1;1;100
528;-1;0;-1;0;1;1;-1;42
529;-1;0;1;-1;1;-1;-1;87
530;-1;0;1;1;-1;-1;1;100
531;-1;0;1;1;1;-1;1;99
532;-1;0;1;-1;1;-1;1;100
533;-1;0;-1;0;-1;1;-1;100
534;-1;0;-1;0;-1;-1;1;100
535;-1;0;1;-1;1;-1;1;100
536;1;1;1;1;-1;-1;1;100
537;-1;0;-1;0;-1;1;-1;89
538;1;-1;1;1;-1;-1;-1;100
539;1;1;-1;0;-1;-1;1;100
540;-1;0;1;-1;1;1;1;95
541;-1;0;-1;0;1;-1;1;81
542;-1;0;-1;0;-1;-1;-1;100
543;-1;0;1;-1;1;-1;-1;96
544;1;-1;1;-1;-1;-1;1;100
545;-1;0;-1;0;-1;-1;1;100
546;1;1;1;-1;-1;-1;1;100
547;-1;0;1;1;1;-1;-1;85
548;-1;0;-1;0;1;-1;1;92
549;-1;0;-1;0;1;1;-1;44
550;-1;0;-1;0;1;-1;1;82
551;-1;0;1;1;1;1;-1;49
552;1;-1;-1;0;1;1;1;87
553;1;-1;1;-1;-1;1;-1;100
554;1;-1;-1;0;1;-1;-1;86
555;1;1;1;1;1;-1;1;98
556;-1;0;-1;0;1;-1;1;91
557;-1;0;-1;0;-1;1;-1;97
558;1;1;1;-1;1;1;-1;81
559;-1;0;1;1;1;1;1;91
560;-1;0;1;1;1;1;-1;59
561;1;1;-1;0;1;1;1;36
562;1;1;-1;0;-1;-1;1;100
563;-1;0;1;1;-1;-1;-1;100
564;-1;0;-1;0;1;1;-1;69
565;-1;0;1;1;1;1;1;74
566;1;-1;1;1;1;1;-1;87
567;1;1;-1;0;1;1;-1;27
568;-1;0;-1;0;-1;-1;1;100
569;1;-1;-1;0;-1;-1;1;100
570;-1;0;1;-1;-1;1;-1;100
571;1;-1;-1;0;-1;-1;-1;100
572;-1;0;1;-1;-1;1;-1;100
573;-1;0;-1;0;1;-1;1;100
574;1;1;1;1;-1;1;1;100
575;-1;0;1;-1;1;1;1;88
576;-1;0;1;1;-1;-1;1;100
577;-1;0;-1;0;1;-1;1;100
578;-1;0;1;-1;1;-1;1;100
579;1;1;1;-1;-1;-1;1;100
580;-1;0;1;1;-1;1;1;100
581;1;-1;-1;0;1;-1;1;98
582;-1;0;1;-1;-1;1;1;100
583;-1;0;-1;0;1;-1;1;90
584;-1;0;1;-1;-1;1;-1;100
585;-1;0;-1;0;1;-1;-1;63
586;-1;0;-1;0;-1;-1;-1;100
587;1;-1;1;-1;-1;1;-1;100
588;1;1;1;1;1;1;-1;49
589;-1;0;1;1;-1;1;1;100
590;1;-1;1;1;-1;1;1;100
591;-1;0;-1;0;1;-1;1;78
592;1;-1;1;1;1;-1;1;100
593;-1;0;-1;0;-1;1;-1;100
594;-1;0;1;-1;-1;1;1;100
595;1;1;-1;0;1;1;-1;23
596;-1;0;1;1;-1;1;1;100
597;-1;0;1;1;1;-1;1;78
598;-1;0;-1;0;1;-1;-1;84
599;1;-1;1;-1;1;-1;1;100
600;1;-1;1;-1;1;1;1;100
601;-1;0;1;1;1;-1;-1;85
602;-1;0;-1;0;-1;-1;1;100
603;-1;0;-1;0;-1;-1;-1;100
604;-1;0;-1;0;-1;-1;1;100
605;-1;0;1;1;-1;1;-1;97
606;-1;0;1;-1;1;-1;1;100
607;-1;0;-1;0;1;1;-1;47
608;1;1;-1;0;1;1;1;69
609;-1;0;-1;0;-1;-1;1;100
610;-1;0;1;1;-1;1;-1;100
611;-1;0;1;1;-1;-1;-1;100
612;1;-1;1;-1;-1;-1;-1;100
613;-1;0;-1;0;-1;1;1;100
614;-1;0;-1;0;-1;-1;1;100
615;1;-1;-1;0;-1;1;1;100
616;-1;0;-1;0;-1;-1;1;100
617;-1;0;-1;0;-1;-1;-1;100
618;-1;0;1;-1;-1;-1;1;100
619;-1;0;-1;0;-1;-1;-1;100
620;1;1;-1;0;1;1;1;45
621;-1;0;-1;0;-1;1;1;100
622;-1;0;1;-1;-1;-1;-1;100
623;1;1;1;1;1;-1;-1;77
624;1;1;-1;0;-1;-1;-1;72
625;1;1;1;-1;-1;-1;1;100
626;1;1;1;-1;-1;1;-1;100
627;-1;0;-1;0;1;1;-1;44
628;1;1;1;1;-1;1;-1;96
629;1;-1;-1;0;1;1;-1;81
630;-1;0;1;1;-1;-1;1;100
631;1;1;-1;0;-1;-1;-1;76
632;-1;0;-1;0;-1;1;-1;100
633;-1;0;-1;0;-1;1;1;100
634;-1;0;1;1;1;-1;-1;89
635;1;1;-1;0;1;1;-1;34
636;-1;0;1;1;1;1;1;72
637;-1;0;1;1;-1;-1;1;100
638;1;-1;-1;0;1;1;1;70
639;-1;0;-1;0;1;1;1;85
640;-1;0;-1;0;1;1;1;62
641;-1;0;1;1;-1;-1;1;100
642;1;-1;-1;0;1;-1;-1;87
643;-1;0;1;-1;1;1;-1;75
644;1;1;1;1;-1;1;-1;84
645;-1;0;-1;0;1;-1;1;80
646;1;1;-1;0;-1;-1;1;100
647;1;1;1;1;-1;1;1;84
648;-1;0;-1;0;-1;1;1;100
649;1;1;-1;0;1;1;-1;11
650;1;-1;-1;0;-1;-1;1;100
651;1;-1;-1;0;1;-1;-1;100
652;-1;0;1;-1;-1;1;-1;100
653;1;-1;-1;0;1;-1;1;93
654;-1;0;1;-1;-1;1;1;100
655;-1;0;1;1;1;1;-1;65
656;1;-1;1;-1;1;-1;-1;100
657;1;1;-1;0;-1;1;-1;84
658;1;1;-1;0;1;-1;-1;37
659;1;-1;-1;0;-1;1;-1;100
660;1;-1;1;1;1;1;-1;63
661;1;1;1;1;1;-1;-1;65
662;1;1;-1;0;-1;1;1;88
